task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,1,0.2,0.8,0.050196725875139236,0.1038564145565033
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,2,0.4,0.6,0.046854544430971146,0.16237320005893707
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,3,0.6,0.4,0.049990780651569366,0.1067560687661171
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,4,0.8,0.19999999999999996,0.04775378480553627,0.14397771656513214
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,5,1.0,0.0,0.042717937380075455,0.28231096267700195
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,0,0.0,1.0,0.024466559290885925,0.09829840809106827
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,1,0.2,0.8,0.02397598884999752,0.10490400344133377
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,2,0.4,0.6,0.022469453513622284,0.12809555232524872
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,3,0.6,0.4,0.020862454548478127,0.15851137042045593
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,4,0.8,0.19999999999999996,0.017640268430113792,0.24298790097236633
23,A1K2P5,ES,4,A1K2P5_ES_slice004,19,5,1.0,0.0,0.016923729330301285,0.2672027349472046
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,0,0.0,1.0,0.009859617799520493,0.08082064986228943
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,1,0.2,0.8,0.0090733477845788,0.10407433658838272
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,2,0.4,0.6,0.007118032313883305,0.19518668949604034
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,3,0.6,0.4,0.0067502716556191444,0.21969327330589294
23,A1K2P5,ES,5,A1K2P5_ES_slice005,20,4,0.8,0.19999999999999996,0.00695663271471858,0.20558598637580872
